FrameSync,DateTime (UTC+00:00),Sample Number (#),Error Flags (#),External pH (pH),Internal pH (pH),External pH (Volt),Internal pH (Volt),pH Temperature (Celsius),Relative Humidity (%),Int Temperature (Celsius),Tris - Int pH,Tris - Ext pH
SEAFET02300,1/25/24 20:41,477,0,8.2569,8.1967,-0.918269,-0.967553,19.0262,20.9,19.4,8.270916536,8.282945367
SEAFET02300,1/25/24 20:41,478,0,8.2555,8.196,-0.918341,-0.967591,19.038,20.9,19.5,8.267702754,8.282565264
SEAFET02300,1/25/24 20:42,479,0,8.255,8.1956,-0.918353,-0.967608,19.0518,20.9,19.5,8.267702754,8.282120769
SEAFET02300,1/25/24 20:42,480,0,8.2555,8.1962,-0.918316,-0.967565,19.0643,20.9,19.5,8.267702754,8.281718176
SEAFET02300,1/25/24 20:43,481,0,8.2548,8.1958,-0.918345,-0.967584,19.0765,20.9,19.5,8.267702754,8.281325271
SEAFET02300,1/25/24 20:43,482,0,8.2546,8.1958,-0.918342,-0.967575,19.0902,20.9,19.6,8.264490737,8.280884091
SEAFET02300,1/25/24 20:44,483,0,8.2545,8.1954,-0.91834,-0.967598,19.1028,21,19.6,8.264490737,8.280478364
SEAFET02300,1/25/24 20:44,484,0,8.2528,8.1942,-0.918423,-0.967658,19.1158,20.9,19.6,8.264490737,8.280059786
SEAFET02300,1/25/24 20:45,485,0,8.2533,8.1947,-0.918383,-0.967627,19.1275,21,19.6,8.264490737,8.279683091
SEAFET02300,1/25/24 20:45,486,0,8.253,8.1952,-0.918389,-0.96759,19.1405,21,19.6,8.264490737,8.27926457
SEAFET02300,1/25/24 20:46,487,0,8.2529,8.1946,-0.918385,-0.967619,19.1538,21,19.6,8.264490737,8.278836422
SEAFET02300,1/25/24 20:46,488,0,8.2517,8.1942,-0.918441,-0.967638,19.168,21,19.6,8.264490737,8.278379337
SEAFET02300,1/25/24 20:47,489,0,8.2518,8.1946,-0.918424,-0.96761,19.1803,21,19.7,8.261280483,8.277983439
SEAFET02300,1/25/24 20:47,490,0,8.2512,8.1942,-0.918447,-0.967628,19.1926,21,19.7,8.261280483,8.277587569
SEAFET02300,1/25/24 20:48,491,0,8.2513,8.1939,-0.918434,-0.967638,19.2039,21,19.7,8.261280483,8.277223907
SEAFET02300,1/25/24 20:48,492,0,8.2509,8.194,-0.918444,-0.967628,19.2155,21,19.7,8.261280483,8.276850614
SEAFET02300,1/25/24 20:49,493,0,8.2502,8.1934,-0.918475,-0.967658,19.2264,21,19.8,8.258071986,8.276499869
SEAFET02300,1/25/24 20:49,494,0,8.2501,8.1936,-0.91847,-0.967644,19.2378,21,19.8,8.258071986,8.276133058
SEAFET02300,1/25/24 20:50,495,0,8.2496,8.193,-0.918489,-0.967671,19.2504,21,19.8,8.258071986,8.275727661
SEAFET02300,1/25/24 20:50,496,0,8.2483,8.192,-0.918549,-0.967724,19.2627,21.1,19.8,8.258071986,8.275331944
SEAFET02300,1/25/24 20:51,497,0,8.2483,8.1924,-0.918542,-0.967694,19.2755,21,19.8,8.258071986,8.27492017
SEAFET02300,1/25/24 20:51,498,0,8.2477,8.192,-0.918563,-0.967714,19.2876,21.1,19.8,8.258071986,8.274530941
SEAFET02300,1/25/24 20:52,499,0,8.2473,8.1918,-0.918573,-0.967722,19.3008,21.1,19.9,8.254865243,8.274106357
SEAFET02300,1/25/24 20:52,500,0,8.2475,8.1921,-0.91855,-0.967699,19.3135,21.1,19.9,8.254865243,8.273697886
SEAFET02300,1/25/24 20:53,501,0,8.2464,8.1914,-0.918607,-0.967734,19.3241,21.1,19.9,8.254865243,8.273356978
SEAFET02300,1/25/24 20:53,502,0,8.2463,8.1913,-0.918603,-0.967732,19.3357,21.1,19.9,8.254865243,8.272983933
SEAFET02300,1/25/24 20:54,503,0,8.2463,8.1913,-0.918591,-0.967732,19.347,21.1,19.9,8.254865243,8.272620558
SEAFET02300,1/25/24 20:54,504,0,8.2456,8.1908,-0.918623,-0.967754,19.3586,21.1,19.9,8.254865243,8.27224756
SEAFET02300,1/25/24 20:55,505,0,8.2455,8.191,-0.918614,-0.967734,19.3709,21.1,19.9,8.254865243,8.271852079
SEAFET02300,1/25/24 20:55,506,0,8.2447,8.1902,-0.918653,-0.967781,19.3825,21.1,19.9,8.254865243,8.27147913
SEAFET02300,1/25/24 20:56,507,0,8.244,8.1899,-0.918683,-0.967791,19.3951,21.2,19.9,8.254865243,8.271074057
SEAFET02300,1/25/24 20:56,508,0,8.2437,8.1896,-0.918685,-0.967804,19.406,21.1,20,8.251660249,8.270723659
SEAFET02300,1/25/24 20:57,509,0,8.2438,8.1899,-0.918669,-0.96778,19.4178,21.2,20,8.251660249,8.270344353
SEAFET02300,1/25/24 20:57,510,0,8.2433,8.1896,-0.918691,-0.967793,19.4294,21.2,20,8.251660249,8.2699715
SEAFET02300,1/25/24 20:58,511,0,8.2426,8.1887,-0.918722,-0.96784,19.4417,21.2,20,8.251660249,8.269576174
SEAFET02300,1/25/24 20:58,512,0,8.2424,8.189,-0.918723,-0.967816,19.4531,21.2,20.1,8.248456999,8.269209797
SEAFET02300,1/25/24 20:59,513,0,8.2418,8.1885,-0.918742,-0.967844,19.4648,21.2,20.1,8.248456999,8.268833803
SEAFET02300,1/25/24 20:59,514,0,8.2416,8.1886,-0.918743,-0.967834,19.4762,21.2,20,8.251660249,8.268467474
SEAFET02300,1/25/24 21:00,515,0,8.2411,8.1879,-0.918765,-0.967865,19.4878,21.2,20.1,8.248456999,8.26809474
SEAFET02300,1/25/24 21:00,516,0,8.2412,8.1882,-0.91875,-0.967842,19.4995,21.2,20.1,8.248456999,8.267718818
SEAFET02300,1/25/24 21:01,517,0,8.2409,8.1882,-0.918756,-0.967839,19.5111,21.3,20.1,8.248456999,8.267346133
SEAFET02300,1/25/24 21:01,518,0,8.24,8.1877,-0.918794,-0.967866,19.5233,21.2,20.1,8.248456999,8.266954196
SEAFET02300,1/25/24 21:02,519,0,8.2394,8.1871,-0.918823,-0.967892,19.5346,21.3,20.1,8.248456999,8.266591196
SEAFET02300,1/25/24 21:02,520,0,8.2395,8.187,-0.918805,-0.967896,19.5458,21.2,20.1,8.248456999,8.266231431
SEAFET02300,1/25/24 21:03,521,0,8.2386,8.1865,-0.918846,-0.967922,19.5565,21.3,20.2,8.245255491,8.265887748
SEAFET02300,1/25/24 21:03,522,0,8.2387,8.1868,-0.918831,-0.967899,19.5689,21.3,20.2,8.245255491,8.265489485
SEAFET02300,1/25/24 21:04,523,0,8.2382,8.1862,-0.918848,-0.967928,19.5798,21.3,20.2,8.245255491,8.265139423
SEAFET02300,1/25/24 21:04,524,0,8.2373,8.1857,-0.91889,-0.967951,19.5906,21.3,20.2,8.245255491,8.264792592
SEAFET02300,1/25/24 21:05,525,0,8.237,8.1852,-0.918898,-0.967974,19.6028,21.3,20.2,8.245255491,8.264400826
SEAFET02300,1/25/24 21:05,526,0,8.2366,8.1853,-0.918913,-0.967967,19.6136,21.3,20.2,8.245255491,8.264054039
SEAFET02300,1/25/24 21:06,527,0,8.2359,8.1845,-0.918944,-0.968005,19.6241,21.3,20.2,8.245255491,8.263716905
SEAFET02300,1/25/24 21:06,528,0,8.2353,8.1839,-0.918967,-0.968035,19.6349,21.3,20.2,8.245255491,8.263370159
SEAFET02300,1/25/24 21:07,529,0,8.2353,8.1846,-0.918957,-0.967991,19.6475,21.3,20.2,8.245255491,8.262965647
SEAFET02300,1/25/24 21:07,530,0,8.2351,8.1841,-0.918956,-0.968014,19.6584,21.3,20.2,8.245255491,8.262615735
SEAFET02300,1/25/24 21:08,531,0,8.2348,8.1843,-0.918966,-0.967998,19.6693,21.3,20.3,8.242055719,8.262265844
SEAFET02300,1/25/24 21:08,532,0,8.235,8.1845,-0.918942,-0.967985,19.6815,21.3,20.3,8.242055719,8.261874247
SEAFET02300,1/25/24 21:09,533,0,8.2341,8.1837,-0.918987,-0.968026,19.6921,21.4,20.3,8.242055719,8.261534029
SEAFET02300,1/25/24 21:09,534,0,8.2341,8.1834,-0.918976,-0.968039,19.7032,21.3,20.3,8.242055719,8.261177784
SEAFET02300,1/25/24 21:10,535,0,8.2331,8.183,-0.919022,-0.968055,19.7144,21.4,20.3,8.242055719,8.260818351
SEAFET02300,1/25/24 21:10,536,0,8.2328,8.1826,-0.919032,-0.968072,19.7258,21.4,20.3,8.242055719,8.260452523
SEAFET02300,1/25/24 21:11,537,0,8.2315,8.1816,-0.919096,-0.968125,19.7368,21.4,20.3,8.242055719,8.260099552
SEAFET02300,1/25/24 21:11,538,0,8.2314,8.1816,-0.91909,-0.968124,19.7477,21.4,20.3,8.242055719,8.259749811
SEAFET02300,1/25/24 21:12,539,0,8.2313,8.1813,-0.919088,-0.968136,19.7575,21.4,20.4,8.238857679,8.259435383
SEAFET02300,1/25/24 21:12,540,0,8.2312,8.1816,-0.919085,-0.968113,19.7686,21.4,20.4,8.238857679,8.259079265
SEAFET02300,1/25/24 21:13,541,0,8.2306,8.1811,-0.919108,-0.968139,19.7786,21.4,20.4,8.238857679,8.258758457
SEAFET02300,1/25/24 21:13,542,0,8.2301,8.1805,-0.919128,-0.968167,19.7898,21.4,20.4,8.238857679,8.258399173
SEAFET02300,1/25/24 21:14,543,0,8.2304,8.1813,-0.919101,-0.96812,19.8002,21.4,20.4,8.238857679,8.258065571
SEAFET02300,1/25/24 21:14,544,0,8.2297,8.1807,-0.919129,-0.96815,19.8111,21.4,20.4,8.238857679,8.257715951
SEAFET02300,1/25/24 21:15,545,0,8.2294,8.1804,-0.919138,-0.96816,19.8219,21.4,20.5,8.235661367,8.25736956
SEAFET02300,1/25/24 21:15,546,0,8.229,8.1803,-0.919154,-0.96816,19.8322,21.4,20.4,8.238857679,8.257039224
SEAFET02300,1/25/24 21:16,547,0,8.2283,8.1794,-0.919187,-0.968211,19.8432,21.5,20.5,8.235661367,8.256686458
SEAFET02300,1/25/24 21:16,548,0,8.228,8.1795,-0.919194,-0.968201,19.8534,21.4,20.5,8.235661367,8.256359367
SEAFET02300,1/25/24 21:17,549,0,8.2275,8.179,-0.919209,-0.968228,19.8638,21.5,20.5,8.235661367,8.256025882
SEAFET02300,1/25/24 21:17,550,0,8.2285,8.18,-0.919146,-0.968163,19.8745,21.5,20.5,8.235661367,8.255682796
SEAFET02300,1/25/24 21:18,551,0,8.2274,8.179,-0.919198,-0.968217,19.8849,21.5,20.5,8.235661367,8.255349349
